Date,Username,Handle,Tweet body,Number of likes,Number of retweets
1970-01-01,Chat FTW,@ChatFTW,"Who do you think will win the fight between Beneil Dariush and Arman Tsarukyan at UFC 296?

Ask ChatFTW, an advanced Sports AI: https://chatftw.com/?twclid=2gp9i36axv1wady95kkbfnis0",11,3
2023-06-05,Benoît Mathieu,@benmathieu,"[1] Oui, on sait. On sait que l'intelligence artificielle est déclinée à toutes les sauces pour le moment. C'est, entre autres, pour cela qu'on a voulu faire le point. 

Que ce soit #ChatGPT, #Midjourney ou #Dalle: peut-on vraiment parler de technologie de rupture? 
#IA #AI ",20,9
1970-01-01,FibreTigre,@NA,"un chatgpt qui au lieu de donner des réponses, pose des questions",124,2
2023-06-15,Mabrouk Sonia,@SoMabrouk,"RDV 12h #MidiNews sur 
@CNEWS
  
- #Karine Garde à vue du mari prolongée. Son profil au cœur de l’enquête. Les témoignages des proches. 
- #RATP Les naufragés du métro 
- #ChatGPT rend sa copie au bac philo:quel niveau?
- #Danemark #immigration Tests de langue pour la nationalité",7,9
2023-06-05,DOUG,@Doug_Harmoniak,L'année est 2038. Je suis un webinaire interactif de datamining animé par un deepfake de Corinne Touzet dont les réponses sont générées par ChatGPT via mon Vision Pro sur le trône. L'analyse de mes selles révèle des carences en Vitamine D. Je ferme le message d'alerte avec mon gl,114,6
2023-06-03,Le Point,@LePoint,"L'INTERVIEW POLITIQUE DU SAMEDI 
Droit à la paresse, « danger pour la République » nommé 
@JLMelenchon
, civisme, #laïcité et même #ChatGPT... André Henry, ancien ministre du Temps libre de François Mitterrand, 88 ans, reste fidèle à une gauche laïque, républicaine et lucide.…",39,8
1970-01-01,WorldShopping Global - Japan Proxy Shopping,@worldshoppingjp,"WorldShopping Black Friday Special! 

We've rounded up some of the best Japan-exclusive Black Friday deals for you

BONUS: Save an extra 500 yen on purchases over 10,000 yen. 
Use Coupon Code: bf2023. 

Starts 00:00, Nov 24, 2023 (JST). Valid while supplies last.",15,3
2023-06-19,Alain GOUDEY,@AlainGoudey,"ByteDance aurait acheté pour 1 milliard de dollars de puces #IA 
@NVIDIA
 au cours du premier semestre de cette année, c’est énorme Cela représente ~100 000 puces. 

Pour rappel, ChatGPT a été entraîné sur 10 000 puces…

Course mondiale de l’IA très intense ! 

v/ 
@ruima",10,8
2023-06-08,Alexander Doria,@Dorialexander,"Remarque très juste (et contre-intuitive) de 
@JiliJeanlouis
 : avec chatGPT et la vogue des IA génératives le coût et la valeur des annotations (et du digital labor) a considérablement augmenté. #FUNconférence23",667,40
2023-06-29,hubert guillaud,@hubertguillaud,Je n'en peux plus des présentations sur ChatGPT avec des gens qui nous montrent dans le détail des pages et des pages de réponses de ChatGPT.,19,5
2023-06-15,Olivier BéniX,@OlivierBenis,"Dieu sait que je ne suis pas un grand convaincu de l'IA mais la vraie info du duel ChatGPT/philosophe c'est ""Une intelligence artificielle obtient 11/20 au bac de philo"", le fait qu'un agrégé de philosophie ait 20/20 sur un sujet du bac, ça n'a rien d'étonnant.",10,3
